id,text,author,likes,timestamp,is_reply,parent_id
UgzvFIWRDe-fNtZY2AF4AaABAg,Majority of Bollywood stayed quiet but they will only go after the Muslims because pajeet hate the fact khans been running Bollywood for decades 😂,@Fkb123,1200,1747526400,False,
Ugz00Tn7VAgn1Imy6NB4AaABAg,"Hello from Türkiye, Free Palestina Free Kashmir, Free Muslim.",@ege5193,922,1747526400,False,
UgwnwWUKuWMbHu37wMt4AaABAg,"So they lost against Pakistan, now they take their anger out on bollywood actors that are muslim. What a disgraceful people they are.",@abayomrunkojemusa9086,828,1747526400,False,
UgwIuGTzdHLxr7aoIu14AaABAg,Poor india. 😂 Support Israel but israel never loved india,@azmirazri2761,813,1747526400,False,
Ugw2WYFhXw8KOKzg-sd4AaABAg,"The Prophet (ﷺ) said: ""There are two blessings that many people are deceived into losing: health and free time.""",@HamzaGW,483,1747526400,False,
Ugz0lx2jNMGQQApTtGZ4AaABAg,In behar muslim guy been killed by mob just becsuse he was doing body building. Shame on india,@amiralikhan061,304,1747526400,False,
Ugw_5IX_6AXFVtQ4PSF4AaABAg,The Prophet (ﷺ) said: “The closest of people to me on the Day of Resurrection will be those who sent the most blessings upon me.”,@HamzaGW,292,1747526400,False,
Ugxuz9J40GKGE2c046J4AaABAg,"Once Jinnah said, ""Muslims who are opposing Pakistan will spend the rest of their lives proving loyalty to India"".",@mohammadusaid1910,264,1747548000,False,
Ugz353zwb3v2eCx2Amx4AaABAg,"These Indians have gone really crazy after losing the war to Pakistan and losing several of their Rafale jets.. Pakistan zindabad 🇵🇰🇵🇰🇵🇰💪💪 Pakistan destroy russian S400
French fight jet rafel
Israel drone technology and Indian all of them defeated by Pakistan/-",@Kingeroffinger,243,1747526400,False,
UgxocxE0NCBnkDeNWsJ4AaABAg,"The funniest thing is Indians criticizing PAKISTANI artists for supporting Pakistan.  ""We will block you and ban you, but you're not allowed to say anything bad about us!"" These people are ridiculous.",@Naushad1210,241,1747526400,False,
UgwFR_xKrWXlS_KFMQx4AaABAg,This is the day of life of Muslims everyday in India..,@sharedata2740,220,1747526400,False,
Ugz6_Kd29_nUjkbC5pV4AaABAg,This conflict proved that people of pakistan and india were never the same lol thanks to JINNAH!,@AttaRehman051,208,1747526400,False,
UgyvdgnamMmFtcBUOHV4AaABAg,"Quran 2:120""Never will the Jews or the Christians be pleased with you until you follow their faith. Say: ""Allah's guidance is the only true guidance,"".",@Martyr-hero-Yahya-Sinwar-RIP,173,1747526400,False,
UgwptzKM6t-j-TxCOOF4AaABAg,"My parents mentioned the atrocities Hindus used to impose on kashmiris and Muslims prior to the partition. They were not allowed to eat beef, sacrifice animals due to Hindu ritual beliefs. So happy pakistan was created and Azad Kashmir was liberated",@spy7170,161,1747526400,False,
Ugwr8kMe-g8uaG7_sBV4AaABAg,"They attacking Amir Khan for no other reason because he is Muslim, many other Bollywood Celebs stayed quiet too.",@SlimDonni,160,1747526400,False,
Ugzykce2g8O9ryDkbol4AaABAg,"To al my Muslim brothers and Sisters:
Boycott Bollywood!",@AnasJaved-c5z,158,1747526400,False,
Ugzxq8kNQDr80RuqGl14AaABAg,"Zeeshan bhai, it takes a different kind of strong to still be digging through Indian news - I found myself unable to keep up with the hate.
Barak ALLAAHu Feek.",@naehalmulazim,155,1747526400,False,
UgwkRSL4V_8w3kbA-rt4AaABAg,May Allah help the Muslims of Pakistan and Kashmir. We pray from Türkiye.,@El_Bitlisi,142,1747526400,False,
UgzppYSjDCq3I3-zEzp4AaABAg,Do you Qurbani in Kenya this year (with a cow share costing £48): http://spot-project.givebrite.com/s2j-qurbani-2025,@smiletojannah,122,1747526400,False,
UgwxzNZ-WCWvny9nXMx4AaABAg,Quaid e Azam said to the Indian muslims during parition those that chose India to Pakistan that you will always have to prove your loyalty to them and that has always been case. They target muslims they treat them terribly make them feel like strangers in their own homeland. Quaid had vision way beyond.,@sanjmalik6282,111,1747526400,False,
