id,text,author,likes,timestamp,is_reply,parent_id
Ugw3ML10Ldwu1zvZQW94AaABAg,Pakistanis are the only South Asians who can put Modi in his place. Big respect. Pakistan Zindabad 🇵🇰.,@Farrukhsiyar159,537,1747602000,False,
Ugz7PCZzzHXkpBYFpah4AaABAg,"Pakistan made whole ummah united...
Alhamdulilah
Bunyaan um Marsooos",@notorious25796,415,1747602000,False,
UgyqJmj_p-ejZMi-vAd4AaABAg,World Without India and Israel 🇮🇳🇮🇱  =  💫✨🤝❤🎉,@RMCH77990,295,1747602000,False,
UgwJlx3mCiax9DGwChB4AaABAg,India finally takes the red pill,@farleymarly2575,257,1747602000,False,
UgzbBjY7j4NGqwahvvB4AaABAg,The biggest ally of India was kicked out of Bangladesh 😂😂😂,@speakup2888,229,1747602000,False,
Ugy1QkvAqdN6gZXyuCZ4AaABAg,they couldn't win by intimidating now they're playing victims to get empathy from other countries,@M_AbdullahArif,178,1747602000,False,
UgyMTBf9b0lPqXKzWZt4AaABAg,We won boys and we won decisively. This is the first stand for Ummah.,@Pray-Serendipity,176,1747605600,False,
Ugws-EQfwryNl0CzrHB4AaABAg,India is basically an Israel from Temu.,@salmanhyder1655,164,1747602000,False,
UgwU1MLpwl-lFrTnMdV4AaABAg,Free india from BJP & Hindutva,@M.Asyraf-p9n,151,1747609200,False,
Ugz6vjX1Q_qsaKpzOxJ4AaABAg,Its so obvious. Pakistan won which is why india is crying so much and so loud. My ears hurt.,@quratulainghazi5210,150,1747605600,False,
UgzJ7F9BwxzZUdU0OcJ4AaABAg,The Deshbhakt’s claim that India should attack Pakistan like Israel attacks Gaza is outrageous and dehumanizing. Supporting Israel’s actions in Gaza while inciting violence is a disgraceful betrayal of humanity. Shame on the Deshbhakt for this vile rhetoric!,@coconut-ß2,137,1747602000,False,
Ugxtm0nc_5pUsMlQ1MR4AaABAg,"What truly amazes me is how different India appears today compared to the India I once saw through Indian movies — a country that was multi-ethnic, multi-religious, kind, soft-spoken, approachable, vibrant, and full of life. Today, however, we see an angrier India — one that is deceitful, confrontational, divisive rather than unifying, and led by people who seem out of touch with reality.",@abaydhaxan,80,1747605600,False,
UgyJ5A28l86wNlHtVU94AaABAg,"Poor India, even their space rockets are failing 🤣",@vajidali530,70,1747602000,False,
Ugzohv1eYsoKqhqRaEZ4AaABAg,"This is PEAK comedy, alhamdulillah it's going to end.",@muhammadabdulahad82,67,1747602000,False,
UgztisHvDA1818nnLwl4AaABAg,"I am from Pakistan 🇵🇰 ❤
Who else is from Pakistan?",@RMCH77990,65,1747602000,False,
UgwS-qGOz4v1OrK2lQ14AaABAg,They finally redeemed it,@mohtashamchughtai6702,63,1747602000,False,
